"Sub.ID","Encoding","Group","Direction","JOL","Scored"
9,"RL","JOL A","F",55,1
9,"RL","JOL A","F",70,1
9,"RL","JOL A","F",40,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",100,1
9,"RL","JOL A","F",70,1
9,"RL","JOL A","F",70,1
9,"RL","JOL A","B",65,1
9,"RL","JOL A","B",60,0
9,"RL","JOL A","B",50,1
9,"RL","JOL A","B",10,0
9,"RL","JOL A","B",80,1
9,"RL","JOL A","B",60,1
9,"RL","JOL A","B",50,1
9,"RL","JOL A","B",70,1
9,"RL","JOL A","B",70,1
9,"RL","JOL A","B",60,1
9,"RL","JOL A","B",40,1
9,"RL","JOL A","B",65,1
9,"RL","JOL A","B",75,1
9,"RL","JOL A","B",70,1
9,"RL","JOL A","B",80,1
9,"RL","JOL A","B",60,1
9,"RL","JOL A","B",49,1
9,"RL","JOL A","B",50,0
9,"RL","JOL A","B",80,1
9,"RL","JOL A","B",35,1
9,"RL","JOL A","S",80,1
9,"RL","JOL A","S",60,0
9,"RL","JOL A","S",40,0
9,"RL","JOL A","S",78,0
9,"RL","JOL A","S",60,0
9,"RL","JOL A","S",50,0
9,"RL","JOL A","S",70,1
9,"RL","JOL A","S",70,1
9,"RL","JOL A","S",100,0
9,"RL","JOL A","S",35,1
9,"RL","JOL A","S",70,0
9,"RL","JOL A","S",50,1
9,"RL","JOL A","S",90,1
9,"RL","JOL A","S",100,1
9,"RL","JOL A","S",80,0
9,"RL","JOL A","S",70,1
9,"RL","JOL A","S",80,1
9,"RL","JOL A","S",80,1
9,"RL","JOL A","S",60,0
9,"RL","JOL A","S",90,1
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",48,0
9,"RL","JOL A","U",36,0
9,"RL","JOL A","U",19,0
9,"RL","JOL A","U",25,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",50,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",20,0
9,"RL","JOL A","U",29,0
9,"RL","JOL A","U",20,0
9,"RL","JOL A","U",35,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",10,0
9,"RL","JOL A","U",30,0
9,"RL","JOL A","U",25,0
9,"RL","JOL A","U",30,1
10,"RL","JOL B","F",78,0
10,"RL","JOL B","F",100,1
10,"RL","JOL B","F",100,1
10,"RL","JOL B","F",83,1
10,"RL","JOL B","F",90,1
10,"RL","JOL B","F",45,0
10,"RL","JOL B","F",90,1
10,"RL","JOL B","F",87,1
10,"RL","JOL B","F",65,1
10,"RL","JOL B","F",87,1
10,"RL","JOL B","F",90,1
10,"RL","JOL B","F",90,1
10,"RL","JOL B","F",100,1
10,"RL","JOL B","F",100,1
10,"RL","JOL B","F",92,1
10,"RL","JOL B","F",89,1
10,"RL","JOL B","F",50,0
10,"RL","JOL B","F",90,1
10,"RL","JOL B","F",100,0
10,"RL","JOL B","F",76,1
10,"RL","JOL B","B",87,0
10,"RL","JOL B","B",89,0
10,"RL","JOL B","B",100,0
10,"RL","JOL B","B",100,1
10,"RL","JOL B","B",98,1
10,"RL","JOL B","B",87,1
10,"RL","JOL B","B",100,0
10,"RL","JOL B","B",87,1
10,"RL","JOL B","B",78,1
10,"RL","JOL B","B",98,0
10,"RL","JOL B","B",95,0
10,"RL","JOL B","B",54,0
10,"RL","JOL B","B",100,0
10,"RL","JOL B","B",97,0
10,"RL","JOL B","B",98,0
