Subject,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,F0,F10,F20,F30,F40,F50,F60,F70,F80,F90,F100,S0,S10,S20,S30,S40,S50,S60,S70,S80,S90,S100,U0,U10,U20,U30,U40,U50,U60,U70,U80,U90,U100,Group
20,0,0,100,0,0,37.5,0,0,0,0,25,50,0,0,50,100,80,0,0,0,0,75,0,0,0,0,0,100,0,0,0,0,70.58823529,0,0,0,50,0,100,0,0,0,0,0,IS
29,0,0,0,0,0,0,0,100,100,88.88888889,71.42857143,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,100,85.71428571,100,0,0,0,100,0,83.33333333,66.66666667,66.66666667,50,100,0,IS
30,0,0,0,0,0,0,0,0,100,53.33333333,100,0,0,0,0,0,0,100,100,100,73.33333333,0,0,0,0,0,0,0,0,0,100,61.53846154,75,0,0,0,0,0,0,0,0,0,11.11111111,25,IS
31,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,100,0,84.61538462,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,33.33333333,33.33333333,33.33333333,50,0,0,0,0,IS
32,0,0,0,0,0,25,50,100,100,66.66666667,0,0,100,0,0,0,0,85.71428571,100,75,0,0,0,0,0,0,40,100,100,50,100,100,0,0,0,0,0,0,0,50,0,100,0,0,IS
41,0,0,0,0,0,0,0,100,75,85.71428571,100,0,0,0,0,100,50,100,0,100,100,100,0,0,0,0,0,0,0,80,85.71428571,83.33333333,100,0,0,0,0,0,25,0,0,0,0,0,IS
42,0,75,33.33333333,100,0,0,0,0,0,0,0,0,85.71428571,100,0,0,0,0,0,0,0,0,50,70,85.71428571,0,100,0,0,0,0,0,0,18.18181818,20,25,0,0,0,0,0,0,0,0,IS
43,0,0,0,66.66666667,100,50,100,80,0,0,0,0,0,0,0,66.66666667,60,37.5,0,0,0,0,0,55.55555556,100,66.66666667,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,IS
44,0,0,0,0,0,50,100,63.63636364,83.33333333,0,0,0,0,0,0,0,100,100,100,80,100,0,0,0,0,0,0,100,0,90.90909091,100,0,0,0,0,0,0,0,12.5,0,33.33333333,100,0,0,IS
53,100,100,0,0,0,0,0,0,0,0,68.75,0,100,0,0,0,0,0,100,0,100,93.75,0,0,0,0,0,0,0,0,100,0,93.33333333,0,0,0,0,0,0,0,0,50,0,9.090909091,IS
54,0,100,100,100,0,60,100,66.66666667,66.66666667,0,0,0,100,100,100,0,0,100,100,50,100,100,0,100,100,100,100,83.33333333,0,100,100,100,0,0,0,33.33333333,0,0,0,33.33333333,0,33.33333333,25,0,IS
55,0,0,0,0,0,0,0,100,100,80,0,0,0,0,0,0,0,100,100,75,83.33333333,50,0,0,0,0,0,0,100,100,75,100,100,0,0,0,0,25,0,0,0,0,0,0,IS
56,0,100,33.33333333,50,0,0,0,33.33333333,0,100,0,0,75,80,100,100,50,0,100,0,100,100,100,50,0,75,100,100,0,66.66666667,100,100,100,0,0,0,0,0,50,100,0,0,0,0,IS
65,0,0,100,0,50,50,50,66.66666667,40,0,0,0,0,0,0,50,50,66.66666667,0,75,75,100,0,100,100,100,100,33.33333333,100,100,100,66.66666667,100,0,0,0,0,0,0,0,0,0,0,0,IS
66,0,40,75,100,0,0,0,0,0,100,0,100,85.71428571,100,100,0,0,50,66.66666667,100,100,0,100,55.55555556,100,0,0,100,0,100,0,0,0,0,12.5,14.28571429,66.66666667,0,0,0,0,0,0,0,IS
67,0,0,0,0,100,100,100,100,50,100,100,0,0,0,0,0,100,75,50,60,75,100,100,0,0,100,0,100,0,100,66.66666667,100,100,100,0,0,50,0,0,0,0,100,0,0,IS
68,0,80,100,75,50,50,0,0,0,0,0,0,100,83.33333333,100,100,100,100,0,0,0,0,0,66.66666667,100,100,66.66666667,100,0,0,0,0,0,0,11.11111111,33.33333333,50,0,0,0,0,0,0,0,IS
77,0,100,0,0,0,0,0,66.66666667,100,80,62.5,0,100,0,0,0,100,100,0,66.66666667,100,77.77777778,0,100,0,0,0,0,0,0,100,100,73.33333333,0,50,0,0,0,0,0,0,0,0,0,IS
78,50,0,0,0,50,75,0,0,0,0,72.72727273,0,0,0,0,100,100,0,0,100,0,76.92307692,100,0,100,0,0,100,0,0,0,100,91.66666667,0,0,100,0,0,50,0,0,0,0,0,IS
79,0,0,0,0,0,0,100,80,80,83.33333333,100,0,0,0,0,100,0,100,66.66666667,100,77.77777778,100,0,0,0,0,0,0,100,100,100,100,100,0,0,11.11111111,20,100,0,0,0,0,0,0,IS
80,0,100,0,66.66666667,80,100,60,100,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,66.66666667,50,100,85.71428571,75,0,0,0,0,0,0,0,25,25,0,0,0,0,0,IS
89,0,33.33333333,0,0,0,50,0,0,100,100,71.42857143,50,0,0,0,0,50,100,100,0,100,80,0,33.33333333,0,0,0,66.66666667,0,0,50,0,66.66666667,0,0,0,0,0,0,0,0,0,0,75,IS
90,0,0,0,0,50,100,100,100,75,75,50,0,0,0,100,0,100,0,100,80,85.71428571,100,0,0,0,100,100,0,0,100,80,75,100,0,0,0,0,50,0,40,0,33.33333333,0,0,IS
