Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
5,IS,JOL A,B,50,1,2
5,IS,JOL A,B,90,0,2
5,IS,JOL A,B,30,1,2
5,IS,JOL A,B,45,0,2
5,IS,JOL A,B,70,0,2
5,IS,JOL A,B,67,1,2
5,IS,JOL A,B,20,0,2
5,IS,JOL A,B,40,0,2
5,IS,JOL A,B,20,0,2
5,IS,JOL A,B,20,1,2
5,IS,JOL A,B,30,1,2
5,IS,JOL A,B,60,0,2
5,IS,JOL A,B,40,1,2
5,IS,JOL A,B,50,0,2
5,IS,JOL A,B,80,0,2
5,IS,JOL A,B,60,1,2
5,IS,JOL A,B,60,0,2
5,IS,JOL A,B,70,0,2
5,IS,JOL A,B,80,0,2
5,IS,JOL A,B,30,1,2
5,IS,JOL A,S,50,0,2
5,IS,JOL A,S,75,1,2
5,IS,JOL A,S,85,1,2
5,IS,JOL A,S,30,1,2
5,IS,JOL A,S,60,1,2
5,IS,JOL A,S,40,1,2
5,IS,JOL A,S,60,1,2
5,IS,JOL A,S,50,1,2
5,IS,JOL A,S,70,0,2
5,IS,JOL A,S,70,1,2
5,IS,JOL A,S,60,0,2
5,IS,JOL A,S,40,1,2
5,IS,JOL A,S,68,1,2
5,IS,JOL A,S,80,1,2
5,IS,JOL A,S,40,1,2
5,IS,JOL A,S,75,1,2
5,IS,JOL A,S,61,1,2
5,IS,JOL A,S,83,1,2
5,IS,JOL A,S,40,1,2
5,IS,JOL A,S,55,1,2
5,IS,JOL A,U,40,0,2
5,IS,JOL A,U,0,0,2
5,IS,JOL A,U,60,0,2
5,IS,JOL A,U,20,1,2
5,IS,JOL A,U,10,0,2
5,IS,JOL A,U,20,0,2
5,IS,JOL A,U,20,1,2
5,IS,JOL A,U,2,0,2
5,IS,JOL A,U,3,0,2
5,IS,JOL A,U,65,1,2
5,IS,JOL A,U,2,0,2
5,IS,JOL A,U,1,0,2
5,IS,JOL A,U,3,0,2
5,IS,JOL A,U,0,0,2
5,IS,JOL A,U,0,0,2
5,IS,JOL A,U,5,0,2
5,IS,JOL A,U,10,0,2
5,IS,JOL A,U,0,0,2
5,IS,JOL A,U,12,0,2
5,IS,JOL A,U,0,0,2
6,IS,JOL B,F,40,1,2
6,IS,JOL B,F,8,1,2
6,IS,JOL B,F,70,1,2
6,IS,JOL B,F,20,1,2
6,IS,JOL B,F,12,1,2
6,IS,JOL B,F,10,1,2
6,IS,JOL B,F,60,1,2
6,IS,JOL B,F,50,1,2
6,IS,JOL B,F,40,1,2
6,IS,JOL B,F,18,1,2
6,IS,JOL B,F,80,1,2
6,IS,JOL B,F,20,1,2
6,IS,JOL B,F,15,1,2
6,IS,JOL B,F,10,1,2
6,IS,JOL B,F,10,1,2
6,IS,JOL B,F,15,1,2
6,IS,JOL B,F,25,1,2
6,IS,JOL B,F,30,1,2
6,IS,JOL B,F,8,1,2
6,IS,JOL B,F,60,1,2
6,IS,JOL B,B,10,1,2
6,IS,JOL B,B,40,0,2
6,IS,JOL B,B,60,0,2
6,IS,JOL B,B,60,1,2
6,IS,JOL B,B,10,1,2
6,IS,JOL B,B,5,1,2
6,IS,JOL B,B,5,1,2
