Subject,type,Group,Direction,Bin,Recall
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,10,0
14,READ,JOL B,U,0,100
14,READ,JOL B,U,0,0
15,READ,JOL C,F,90,0
15,READ,JOL C,F,80,0
15,READ,JOL C,F,70,0
15,READ,JOL C,F,20,0
15,READ,JOL C,F,50,0
15,READ,JOL C,F,100,0
15,READ,JOL C,F,50,0
15,READ,JOL C,F,80,100
15,READ,JOL C,F,40,0
15,READ,JOL C,F,100,0
15,READ,JOL C,F,30,0
15,READ,JOL C,F,100,0
15,READ,JOL C,F,80,0
15,READ,JOL C,F,90,100
15,READ,JOL C,F,100,0
15,READ,JOL C,F,100,0
15,READ,JOL C,F,80,0
15,READ,JOL C,F,80,0
15,READ,JOL C,F,20,0
15,READ,JOL C,F,100,100
15,READ,JOL C,B,30,0
15,READ,JOL C,B,70,100
15,READ,JOL C,B,50,100
15,READ,JOL C,B,10,0
15,READ,JOL C,B,80,0
15,READ,JOL C,B,80,0
15,READ,JOL C,B,100,0
15,READ,JOL C,B,80,100
15,READ,JOL C,B,100,0
15,READ,JOL C,B,100,100
15,READ,JOL C,B,20,0
15,READ,JOL C,B,50,100
15,READ,JOL C,B,70,100
15,READ,JOL C,B,50,100
15,READ,JOL C,B,90,100
15,READ,JOL C,B,80,0
15,READ,JOL C,B,100,0
15,READ,JOL C,B,80,100
15,READ,JOL C,B,80,100
15,READ,JOL C,B,80,0
15,READ,JOL C,S,100,100
15,READ,JOL C,S,100,0
15,READ,JOL C,S,100,0
15,READ,JOL C,S,90,0
15,READ,JOL C,S,100,100
15,READ,JOL C,S,70,100
15,READ,JOL C,S,100,0
15,READ,JOL C,S,30,0
15,READ,JOL C,S,100,100
15,READ,JOL C,S,80,100
15,READ,JOL C,S,100,100
15,READ,JOL C,S,90,100
15,READ,JOL C,S,100,0
15,READ,JOL C,S,100,0
15,READ,JOL C,S,100,100
15,READ,JOL C,S,100,100
15,READ,JOL C,S,90,0
15,READ,JOL C,S,100,0
15,READ,JOL C,S,100,0
15,READ,JOL C,S,100,100
15,READ,JOL C,U,0,0
15,READ,JOL C,U,20,0
15,READ,JOL C,U,20,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,20,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,50,0
15,READ,JOL C,U,30,0
15,READ,JOL C,U,60,100
15,READ,JOL C,U,10,0
15,READ,JOL C,U,30,0
15,READ,JOL C,U,30,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,0,0
15,READ,JOL C,U,10,0
15,READ,JOL C,U,30,0
15,READ,JOL C,U,20,0
16,READ,JOL D,B,20,0
16,READ,JOL D,B,30,0
16,READ,JOL D,B,50,0
16,READ,JOL D,B,100,0
16,READ,JOL D,B,50,0
16,READ,JOL D,B,30,0
16,READ,JOL D,B,100,0
16,READ,JOL D,B,100,0
16,READ,JOL D,B,30,100
16,READ,JOL D,B,50,0
16,READ,JOL D,B,80,100
16,READ,JOL D,B,70,0
16,READ,JOL D,B,100,100
16,READ,JOL D,B,30,0
16,READ,JOL D,B,50,0
16,READ,JOL D,B,100,0
16,READ,JOL D,B,50,0
16,READ,JOL D,B,50,100
16,READ,JOL D,B,100,0
16,READ,JOL D,B,100,100
16,READ,JOL D,F,30,100
16,READ,JOL D,F,100,100
16,READ,JOL D,F,30,100
16,READ,JOL D,F,100,100
16,READ,JOL D,F,60,100
16,READ,JOL D,F,30,0
16,READ,JOL D,F,0,0
16,READ,JOL D,F,30,100
16,READ,JOL D,F,80,0
16,READ,JOL D,F,20,0
16,READ,JOL D,F,60,100
16,READ,JOL D,F,50,100
16,READ,JOL D,F,50,100
16,READ,JOL D,F,30,0
16,READ,JOL D,F,100,100
16,READ,JOL D,F,50,100
16,READ,JOL D,F,50,100
16,READ,JOL D,F,100,0
16,READ,JOL D,F,100,100
16,READ,JOL D,F,100,100
16,READ,JOL D,S,80,100
16,READ,JOL D,S,100,100
16,READ,JOL D,S,80,100
16,READ,JOL D,S,80,100
16,READ,JOL D,S,70,0
16,READ,JOL D,S,30,100
16,READ,JOL D,S,50,100
16,READ,JOL D,S,30,0
16,READ,JOL D,S,80,0
16,READ,JOL D,S,100,100
16,READ,JOL D,S,80,100
16,READ,JOL D,S,80,0
16,READ,JOL D,S,10,0
16,READ,JOL D,S,60,0
16,READ,JOL D,S,80,100
16,READ,JOL D,S,70,100
16,READ,JOL D,S,40,100
16,READ,JOL D,S,10,0
16,READ,JOL D,S,100,100
16,READ,JOL D,S,30,100
16,READ,JOL D,U,0,0
16,READ,JOL D,U,50,100
16,READ,JOL D,U,10,100
16,READ,JOL D,U,20,0
16,READ,JOL D,U,30,0
16,READ,JOL D,U,30,0
16,READ,JOL D,U,10,0
16,READ,JOL D,U,0,0
16,READ,JOL D,U,20,0
